name,category1
Shaw's Supermarket,grocery
Whole Foods Market,grocery
La Internacional Foods Corporation,ethnic food
Dave's Fresh Pasta,sandwish
McKinnon's Meat Market,meats
Reliable Market,beer & wine
Lp Market,grocery
Well Foods Plus,grocery
Stop & Shop,grocery
Star Market,grocery
Modelos Market Cafe,fruits & veggies
Modelos Market Cafe,butcher
Teele Square Market,convenience
Stop and Shop,grocery
Davis Station Food,grocery
Tony's Foodland,grocery
Market Basket,grocery
